id,title,description,release_year,age_certification,runtime,genres,production_country,seasons
3291,eum debitis Story,Ex culpa mollitia assumenda hic facilis accusantium maxime placeat. Adipisci neque tenetur quo nulla non. Quos facilis doloribus provident voluptatum officia quasi aut ipsa. Cumque doloremque harum fugit cum qui. Aut unde mollitia sequi. Magnam placeat quisquam deleniti culpa amet.,2023,PG,121,Animation,PF,
2011,fuga sit Story,Assumenda provident dignissimos laudantium vero beatae. Iure dolore rem tempora ut. Dolor molestias delectus dolores exercitationem recusandae voluptas aperiam necessitatibus rem.,2023,PG-13,96,Family,HR,
459,repudiandae consectetur Story,Odit nobis blanditiis voluptatem impedit hic. Consequatur fugiat labore quia natus facilis minus impedit minus illo. Perferendis dolorem enim officia ex nihil.,2023,E,114,Romance,BA,
3357,voluptatibus esse Story,Accusamus suscipit doloribus alias. Pariatur maxime voluptas beatae tempore fuga dolorum voluptatum. Delectus delectus voluptates recusandae fugit enim rerum saepe. Fugiat explicabo quia earum ea dolorem aliquid facere accusamus. Odit perferendis nobis aspernatur id ipsum. Mollitia omnis consequatur porro aliquam quas.,2022,TV-G,64,Drama,TR,
2073,incidunt suscipit Story,Porro atque omnis soluta debitis. Quisquam odit eaque consequatur earum odit eaque.,2022,M/PG,125,Drama,IS,
2136,omnis maxime Story,Occaecati unde fugit molestiae iusto odit sequi. Ratione culpa perspiciatis. Sint ea amet voluptas nisi.,2022,TV-PG,125,Thriller,VN,
1852,minima recusandae Story,Deleniti maiores quaerat maxime. Numquam nemo provident laboriosam. Sapiente laborum odit aliquid amet magni debitis dicta corrupti dolore. Itaque labore tenetur animi aperiam facilis eum esse ipsa ratione. Cupiditate occaecati voluptas nam earum.,2022,9,73,Documentary,SZ,10
2149,et iusto Story,Soluta adipisci quisquam ipsa nesciunt sapiente. Voluptates nostrum atque. Totam eveniet nulla animi voluptates nulla dolorum. Iste dolores nesciunt molestias rem laudantium unde amet mollitia. Inventore pariatur voluptatum consectetur pariatur accusamus ad. Quidem natus dolor provident quis nihil est saepe omnis.,2022,TV-Y7,118,Comedy,GL,4
1615,expedita cum Story,Quo quas nam minus fugiat nihil. Magni amet est tempora. Beatae labore asperiores dolor explicabo. Voluptatum ipsam consequatur beatae consequatur aliquam reprehenderit et sint.,2023,12A,65,Sci-Fi,KY,
1293,magni nostrum Story,Nostrum atque est. Vitae debitis earum ut laudantium exercitationem. Autem sit mollitia temporibus. Temporibus facere quaerat fugiat earum unde aspernatur fuga placeat voluptate. Laborum odit quidem eum ipsam placeat cum tenetur quisquam error. Mollitia cum perspiciatis quos voluptate aliquam dolorum iure nihil delectus.,2023,15,118,Drama,SA,6
705,dolores consequatur Story,Occaecati ea ipsum numquam exercitationem. Nesciunt nesciunt tenetur hic nostrum nostrum delectus. Quas consequuntur doloremque eligendi rerum inventore recusandae asperiores dolorem. Quaerat dolorem fugiat esse ducimus fuga. Dolores dicta nesciunt ducimus natus debitis nemo assumenda perspiciatis facilis.,2023,6,141,Animation,AG,10
1513,ducimus asperiores Story,Laudantium et distinctio. Quis incidunt dolor consequuntur laboriosam nobis ratione nulla in laboriosam. Quo natus quisquam facere exercitationem ipsa architecto. Nesciunt ullam ad deserunt cum incidunt cumque. Iure ullam non harum placeat necessitatibus vero praesentium.,2023,R21,168,Thriller,NF,5
2085,esse eligendi Story,Officia fuga voluptatibus nostrum ipsam soluta minus. Neque quibusdam inventore amet corrupti quas ratione ab ea. Totam non sunt eius est rem accusamus libero quod. Asperiores provident cupiditate est quia neque ratione sapiente.,2023,GP,130,Fantasy,NI,1
611,explicabo occaecati Story,Quod aliquid iste numquam. Distinctio veritatis enim distinctio commodi minus sint tempora. Architecto perferendis iusto. Officia placeat maxime iste nam debitis in.,2023,E10+,156,Horror,PH,
48,praesentium delectus Story,Dicta quae explicabo eum officiis esse aspernatur. Blanditiis delectus aspernatur suscipit debitis assumenda provident totam hic iusto.,2023,TV-Y7,145,Thriller,MW,
947,repellendus ea Story,In ex incidunt odit. Iure corrupti ipsam molestias necessitatibus exercitationem aliquam.,2022,GP,116,Adventure,PM,
750,suscipit veniam Story,Quia dolorem qui rerum hic commodi esse perspiciatis. Ea nisi vero cumque maxime cumque mollitia blanditiis necessitatibus dicta.,2023,9,115,Fantasy,FK,
726,amet tempore Story,Dicta dolorum consectetur quaerat fuga sint dolorum amet. Impedit quis recusandae doloremque laborum expedita qui non. Veritatis magnam delectus beatae magnam delectus assumenda maiores officiis unde. Voluptatibus dolore fugit hic accusamus eligendi ab fugit. Ea in vel iure ipsa quibusdam quaerat inventore unde.,2023,TV-Y7,128,Fantasy,RO,5
517,adipisci nemo Story,Voluptate corporis quas. Dolores velit alias assumenda modi veniam. Commodi corrupti maxime. Quos voluptate dolores.,2022,12,127,Horror,GU,6
1694,officia accusantium Story,Eaque minus quis ex aspernatur fugit. Consequatur iste molestias mollitia dolorem voluptatum dolore. Quaerat dolores dolorem recusandae consequuntur voluptates voluptas. Aliquid harum porro. Et facilis quaerat quas mollitia placeat. Quas molestiae soluta excepturi velit tempore deserunt.,2023,MA15+,71,Action,NG,
1301,amet hic Story,Sequi iusto fuga expedita. Voluptate inventore quisquam placeat vitae fugit quidem dolorem sequi. Ex culpa ab.,2022,TV-PG,87,Drama,AF,
143,hic excepturi Story,Esse nesciunt veniam eligendi tempora consequatur. Non laboriosam ducimus.,2022,PG,162,Romance,MS,
3227,inventore maiores Story,Ipsum ipsum maiores optio repellat magni dicta repellendus error. Placeat iusto nemo quae dolores vel repellat molestias iste sapiente. Delectus harum eligendi. Ipsa nostrum doloremque ipsam nesciunt.,2022,9,94,Drama,AD,9
2525,eveniet optio Story,Fugiat libero deleniti maxime earum dolores tempore. Possimus nemo eaque. Porro possimus dolor ad pariatur iusto aliquid occaecati voluptate doloribus. Natus aspernatur voluptates eligendi repellat animi nostrum est officia esse.,2023,R,118,Fantasy,MU,9
3461,blanditiis cum Story,Laborum et fugit fuga amet repellat. Illo voluptatum modi voluptas ut possimus quibusdam nesciunt possimus impedit. Porro magnam molestiae sint earum magnam minus consequuntur.,2023,T,77,Family,LU,
672,sit voluptatum Story,Ipsa iste enim deleniti pariatur molestiae nulla. Omnis quae nostrum illum nisi. Sit possimus laboriosam consectetur nemo labore.,2023,E,162,Sci-Fi,DE,4
2937,tempora excepturi Story,Asperiores dignissimos earum dolores ipsam dolorem. Nobis neque reiciendis fuga veniam rem eveniet officia. Sapiente excepturi hic dolorem labore nostrum veniam ea asperiores. Architecto ut illo at sequi est quo. Alias eveniet enim. Minima distinctio quasi error dolorum voluptatum excepturi dignissimos ipsa.,2022,MA15+,150,Thriller,SY,6
765,at suscipit Story,Ipsum tempore voluptates. Provident aut sequi at reprehenderit earum deleniti fugiat. Porro cupiditate aliquid. Deleniti natus sit. Accusantium laboriosam recusandae eius maiores dignissimos.,2022,6,116,Family,NE,
1010,omnis qui Story,Nobis soluta aperiam architecto tempore. Expedita numquam quam. Velit expedita eligendi fugiat sapiente aliquid necessitatibus odio inventore.,2023,TV-Y7,88,Thriller,HK,
1830,voluptatibus fugit Story,Sequi corporis ab quos modi occaecati ab. Cum quibusdam dicta inventore hic.,2022,18R,122,Adventure,ZA,4
